HFD + KNN,42.43824332591269%, 8/19,RH,"[33, 36, 43, 0]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,42.5796932773717%, 7/19,RH,"[33, 36, 43, 1]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,50.12847854588727%, 8/19,RH,"[33, 36, 43, 2]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,44.93417561329645%, 6/19,RH,"[33, 36, 43, 3]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,47.61449311795642%, 8/19,RH,"[33, 36, 43, 4]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,41.22643511466972%, 7/19,RH,"[33, 36, 43, 5]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,42.17620519617217%, 8/19,RH,"[33, 36, 43, 6]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,48.09905483079302%, 9/19,RH,"[33, 36, 43, 7]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,40.61858317964403%, 3/19,RH,"[33, 36, 43, 8]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,44.31385902263948%, 7/19,RH,"[33, 36, 43, 9]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,41.40700748770964%, 7/19,RH,"[33, 36, 43, 10]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,46.6845024993242%, 8/19,RH,"[33, 36, 43, 11]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,39.73546151559604%, 6/19,RH,"[33, 36, 43, 12]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,49.949113466696886%, 9/19,RH,"[33, 36, 43, 13]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,47.18289885157533%, 7/19,RH,"[33, 36, 43, 14]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,41.376256204743335%, 7/19,RH,"[33, 36, 43, 15]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,45.97041905037784%, 6/19,RH,"[33, 36, 43, 16]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,39.00230652006634%, 6/19,RH,"[33, 36, 43, 17]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,42.7476952608277%, 7/19,RH,"[33, 36, 43, 18]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,43.159276616603655%, 8/19,RH,"[33, 36, 43, 19]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,43.14827946182129%, 6/19,RH,"[33, 36, 43, 20]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,46.07366381762545%, 8/19,RH,"[33, 36, 43, 21]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,42.56120721984143%, 9/19,RH,"[33, 36, 43, 22]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,44.78840075959227%, 7/19,RH,"[33, 36, 43, 23]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,40.086979178813976%, 8/19,RH,"[33, 36, 43, 24]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,45.155274364077854%, 9/19,RH,"[33, 36, 43, 25]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,44.26881283222857%, 7/19,RH,"[33, 36, 43, 26]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,47.53421250088007%, 8/19,RH,"[33, 36, 43, 27]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,44.650801861361835%, 10/19,RH,"[33, 36, 43, 28]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,51.536966037756905%, 10/19,RH,"[33, 36, 43, 29]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,45.58844083584353%, 9/19,RH,"[33, 36, 43, 30]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,48.479050131324435%, 9/19,RH,"[33, 36, 43, 31]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,49.62796723888195%, 10/19,RH,"[33, 36, 43, 32]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,42.73575603731355%, 7/19,RH,"[33, 36, 43, 33]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,50.48377927933154%, 10/19,RH,"[33, 36, 43, 34]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,42.96471534564361%, 6/19,RH,"[33, 36, 43, 35]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,51.266419130701394%, 11/19,RH,"[33, 36, 43, 36]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,50.604362005653016%, 10/19,RH,"[33, 36, 43, 37]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,49.601768558370836%, 9/19,RH,"[33, 36, 43, 38]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
HFD + KNN,48.325535345499766%, 8/19,RH,"[33, 36, 43, 39]","HFD over 250-500/500-750/750-1000/1000-1250, k=27"
